Amaranthaceae	Anacardiaceae	Apiaceae	Araucaria.Angustifolia	Arecaceae	Asteraceae	Cecropia	Celtis	Clethra	Drimys.Brasiliensis	Euphorbiaceae	Fabaceae	Hedyosmum.	Ilex	Lamanonia.speciosa.type	Malpighiaceae	Melastomataceae.Combretaceae	Moraceae.Urticaceae	Myrsine	Myrtaceae	Piper	Poaceae	Podocarpus	Rubiaceae	Sapindaceae	Solanaceae	Symplocos	Trema.type	Weinmannia
0	0	1.030927835	0	0.343642612	16.83848797	0	0.343642612	0	0	2.749140893	0	0	0	0	0	0	0	3.092783505	2.405498282	0	68.38487973	0	0	0.343642612	0	0	0	3.092783505
0.343642612	0.343642612	1.030927835	0.343642612	1.030927835	7.216494845	0	0.343642612	0	0.343642612	1.718213058	0.687285223	0	0.687285223	0	0	0.687285223	0.687285223	0.343642612	3.092783505	0	77.66323024	0	0	0	0.343642612	0.687285223	0	1.374570447
0.680272109	0	0.680272109	0	0	10.88435374	0	0.680272109	0	0	3.06122449	0.680272109	0	0.680272109	0	0	0.340136054	0	0.680272109	1.020408163	0	77.89115646	0	0.340136054	0	0	0	0	1.700680272
0.33557047	0	2.348993289	0.67114094	0	9.060402685	0	0.67114094	0	0	0.33557047	0.67114094	0	0	0	0	0.67114094	0.67114094	1.342281879	2.348993289	0	78.52348993	0.33557047	0.33557047	0	0	0.33557047	0	0.33557047
0	0	1.706484642	0	0	6.14334471	0	0	0	0	1.365187713	0	0	0	0.341296928	0	0.682593857	0.341296928	1.365187713	3.071672355	0	81.9112628	0.682593857	0	0.341296928	0	0	0	2.04778157
0	0	0.352112676	0.352112676	0	6.690140845	0	0	0.352112676	0	2.112676056	0	0.352112676	0	0	0	0.352112676	0.352112676	0.704225352	4.225352113	0	82.74647887	0	0	0.352112676	0.352112676	0	0	0
0.342465753	0	1.369863014	0	0	11.64383562	0	0.342465753	0	0	1.02739726	0.684931507	0	0.342465753	0	0	0.342465753	0	0.684931507	4.452054795	0	77.39726027	0	0	0	0	0	0	1.02739726
0	0	0.341296928	0.682593857	0	8.532423208	0	0.682593857	0	0	0	0.341296928	0.341296928	0	0	0	1.023890785	0.682593857	1.365187713	3.412969283	0	79.18088737	0	0	0	0	0	0	1.365187713
0.347222222	0	0.347222222	0	0	10.06944444	0	0	0.347222222	0	0	1.736111111	0.347222222	0.347222222	0.347222222	0	0.347222222	0	0.347222222	2.083333333	0	81.59722222	0	0	0	0	0.347222222	0	0.694444444
0.340136054	0	1.020408163	0.680272109	0	6.12244898	0	0	0	0	0.680272109	0.340136054	0	0.680272109	0	0	0.340136054	0	0.680272109	4.761904762	0	80.27210884	0	0.680272109	0	0	0	0	2.380952381
0	0	1.689189189	0	0	7.432432432	0	0	0	0	1.013513514	0.337837838	0.337837838	0.337837838	0	0	0	0.337837838	0.675675676	4.054054054	0	80.06756757	0.337837838	0	0	0	0	0.337837838	1.689189189
0.357142857	0	1.428571429	0	0	6.071428571	0	0.357142857	0.357142857	0	0	0.714285714	0	0.357142857	0	0	0.714285714	0.714285714	0.357142857	6.428571429	0	77.85714286	0	0.357142857	0	0.714285714	0	0	1.428571429
0	0	4.166666667	0	0	8.680555556	0	0.347222222	0.347222222	0	0.347222222	2.430555556	0	0	0	0	0.347222222	0.347222222	0.347222222	6.25	0	71.18055556	0	0	0	0.347222222	0.347222222	0	2.430555556
0.352112676	0	1.76056338	0	0	14.43661972	0	0	0	0	0	0.704225352	0	0.704225352	0	0	1.056338028	0.704225352	1.408450704	7.394366197	0	67.25352113	0.352112676	0	0	0.352112676	0	0	1.056338028
0	0	1.718213058	0	0	6.18556701	0	0.343642612	0	0	0	0.687285223	0	1.374570447	0	0	0.687285223	0.343642612	0.343642612	7.903780069	0	76.28865979	0.343642612	0	0	0	0.343642612	0	1.030927835
0	0	2.491103203	0	0	13.52313167	0	0.355871886	0.355871886	0	0	2.135231317	0	1.067615658	0	0	0.355871886	0.355871886	0	7.117437722	0	64.0569395	0	0	0	0	0	0	2.846975089
0	0	2.405498282	0	0	9.621993127	0	0	0	0	0	0.343642612	0	1.374570447	0	0	0.343642612	1.030927835	0.343642612	5.154639175	0	71.82130584	0.687285223	0.343642612	0	0	1.374570447	0	1.718213058
0.355871886	0	5.338078292	0	0.711743772	10.67615658	0	0	0	0	0.711743772	1.067615658	0	0.711743772	0	0	1.067615658	0	0.355871886	4.270462633	0	70.10676157	0.355871886	0	0	0	1.423487544	0	0
1.030927835	0	2.749140893	0	0	9.278350515	0	0.343642612	0	0	0	0.343642612	0	1.718213058	0	0	0.687285223	0.343642612	0.343642612	6.872852234	0	70.79037801	0	0	0	0	0.343642612	0	3.436426117
